PARTNUMBER,LOTNUMBER,PRODUCTNAME,HASINVENTORY,LASTINVENTORYUPDATE,BUYABLE
el2922pcsaaa02,el2922pcsaaa022jd000003,18 KTYellow Gold Interlocking Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2922pmtaaa32,el2922pmtaaa322jd000002,18 KT Yellow Gold Sparkling Pair Diamond and Pink Sapphire Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2922pmtaaa32,el2922pmtaaa322jd000004,18 KT Yellow Gold Sparkling Pair Diamond and Pink Sapphire Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2922pmtaaa32,el2922pmtaaa322jd000003,18 KT Yellow Gold Sparkling Pair Diamond and Pink Sapphire Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2922scwaaa02,el2922scwaaa022jd000004,18 KT Detachable Yellow And White Gold Sparkling Sunrise Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2922scwaaa02,el2922scwaaa022jd000005,18 KT Detachable Yellow And White Gold Sparkling Sunrise Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2923pygaaa02,el2923pygaaa021bl000001,Heartbeat Wingspan 18KT Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2923pygaaa02,el2923pygaaa022hd000003,Heartbeat Wingspan 18KT Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sdkafa02,el3023sdkafa022ja000003,Whispering Wind 18 Kt Gold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sdrada02,el3023sdrada022ja000004,Floral Swirls 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sdrada02,el3023sdrada022ja000006,Floral Swirls 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sdrada02,el3023sdrada022ja000002,Floral Swirls 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sdrada02,el3023sdrada022ja000005,Floral Swirls 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sdrada02,el3023sdrada022ja000007,Floral Swirls 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sdtafa02,el3023sdtafa022ja000005,Petal Radiance 18 Kt Gold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
